name,mfg,calories,protein,fat,sodium,fiber,carbo,sugars,potass,vitamins,cups,rating,address
100% Bran,N,70,4,1,130,10,5,6,280,25,0.33,68.402973,123 Circle Way
100% Natural Bran,Q,120,3,5,15,2,8,8,135,0,1,33.983679,345 Red Lane Rd
All-Bran,K,70,4,1,260,9,7,5,320,25,0.33,59.425505,109 Left Dr
All-Bran with Extra Fiber,K,50,4,0,140,14,8,0,330,25,0.5,93.704912,109 Left Dr
Almond Delight,R,110,2,2,200,1,14,8,-1,25,0.75,34.384843,678 Junior Dr
Apple Cinnamon Cheerios,G,110,2,2,180,1.5,10.5,10,70,25,0.75,29.509541,934 Green Way
Apple Jacks,K,110,2,0,125,1,11,14,30,25,1,33.174094,109 Left Dr
Basic 4,G,130,3,2,210,2,18,8,100,25,0.75,37.038562,934 Green Way
Bran Chex,R,90,2,1,200,4,15,6,125,25,0.67,49.120253,678 Junior Dr
Bran Flakes,P,90,3,0,210,5,13,5,190,25,0.67,53.313813,776 Line Lane
Cap'n'Crunch,Q,120,1,2,220,0,12,12,35,25,0.75,18.042851,345 Red Lane Rd
Cheerios,G,110,6,2,290,2,17,1,105,25,1.25,50.764999,934 Green Way
Cinnamon Toast Crunch,G,120,1,3,210,0,13,9,45,25,0.75,19.823573,934 Green Way
Clusters,G,110,3,2,140,2,13,7,105,25,0.5,40.400208,934 Green Way
Cocoa Puffs,G,110,1,1,180,0,12,13,55,25,1,22.736446,934 Green Way
Corn Chex,R,110,2,0,280,0,22,3,25,25,1,41.445019,678 Junior Dr
Corn Flakes,K,100,2,0,290,1,21,2,35,25,1,45.863324,109 Left Dr
Corn Pops,K,110,1,0,90,1,13,12,20,25,1,35.782791,109 Left Dr
Count Chocula,G,110,1,1,180,0,12,13,65,25,1,22.396513,934 Green Way
Cracklin' Oat Bran,K,110,3,3,140,4,10,7,160,25,0.5,40.448772,109 Left Dr
Cream of Wheat (Quick),N,100,3,0,80,1,21,0,-1,0,1,64.533816,123 Circle Way
Crispix,K,110,2,0,220,1,21,3,30,25,1,46.895644,109 Left Dr
Crispy Wheat & Raisins,G,100,2,1,140,2,11,10,120,25,0.75,36.176196,934 Green Way
Double Chex,R,100,2,0,190,1,18,5,80,25,0.75,44.330856,678 Junior Dr
Froot Loops,K,110,2,1,125,1,11,13,30,25,1,32.207582,109 Left Dr
Frosted Flakes,K,110,1,0,200,1,14,11,25,25,0.75,31.435973,109 Left Dr
Frosted Mini-Wheats,K,100,3,0,0,3,14,7,100,25,0.8,58.345141,109 Left Dr
Fruit & Fibre Dates; Walnuts; and Oats,P,120,3,2,160,5,12,10,200,25,0.67,40.917047,776 Line Lane
Fruitful Bran,K,120,3,0,240,5,14,12,190,25,0.67,41.015492,109 Left Dr
Fruity Pebbles,P,110,1,1,135,0,13,12,25,25,0.75,28.025765,776 Line Lane
Golden Crisp,P,100,2,0,45,0,11,15,40,25,0.88,35.252444,776 Line Lane
Golden Grahams,G,110,1,1,280,0,15,9,45,25,0.75,23.804043,934 Green Way
Grape Nuts Flakes,P,100,3,1,140,3,15,5,85,25,0.88,52.076897,776 Line Lane
Grape-Nuts,P,110,3,0,170,3,17,3,90,25,0.25,53.371007,776 Line Lane
Great Grains Pecan,P,120,3,3,75,3,13,4,100,25,0.33,45.811716,776 Line Lane
Honey Graham Ohs,Q,120,1,2,220,1,12,11,45,25,1,21.871292,345 Red Lane Rd
Honey Nut Cheerios,G,110,3,1,250,1.5,11.5,10,90,25,0.75,31.072217,934 Green Way
Honey-comb,P,110,1,0,180,0,14,11,35,25,1.33,28.742414,776 Line Lane
Just Right Crunchy  Nuggets,K,110,2,1,170,1,17,6,60,100,1,36.523683,109 Left Dr
Just Right Fruit & Nut,K,140,3,1,170,2,20,9,95,100,0.75,36.471512,109 Left Dr
Kix,G,110,2,1,260,0,21,3,40,25,1.5,39.241114,934 Green Way
Life,Q,100,4,2,150,2,12,6,95,25,0.67,45.328074,345 Red Lane Rd
Lucky Charms,G,110,2,1,180,0,12,12,55,25,1,26.734515,934 Green Way
Maypo,A,100,4,1,0,0,16,3,95,25,1,54.850917,6653 Blue Cir
Muesli Raisins; Dates; & Almonds,R,150,4,3,95,3,16,11,170,25,1,37.136863,678 Junior Dr
Muesli Raisins; Peaches; & Pecans,R,150,4,3,150,3,16,11,170,25,1,34.139765,678 Junior Dr
Mueslix Crispy Blend,K,160,3,2,150,3,17,13,160,25,0.67,30.313351,109 Left Dr
Multi-Grain Cheerios,G,100,2,1,220,2,15,6,90,25,1,40.105965,934 Green Way
Nut&Honey Crunch,K,120,2,1,190,0,15,9,40,25,0.67,29.924285,109 Left Dr
Nutri-Grain Almond-Raisin,K,140,3,2,220,3,21,7,130,25,0.67,40.69232,109 Left Dr
Nutri-grain Wheat,K,90,3,0,170,3,18,2,90,25,1,59.642837,109 Left Dr
Oatmeal Raisin Crisp,G,130,3,2,170,1.5,13.5,10,120,25,0.5,30.450843,934 Green Way
Post Nat. Raisin Bran,P,120,3,1,200,6,11,14,260,25,0.67,37.840594,776 Line Lane
Product 19,K,100,3,0,320,1,20,3,45,100,1,41.50354,109 Left Dr
Puffed Rice,Q,50,1,0,0,0,13,0,15,0,1,60.756112,345 Red Lane Rd
Puffed Wheat,Q,50,2,0,0,1,10,0,50,0,1,63.005645,345 Red Lane Rd
Quaker Oat Squares,Q,100,4,1,135,2,14,6,110,25,0.5,49.511874,345 Red Lane Rd
Quaker Oatmeal,Q,100,5,2,0,2.7,-1,-1,110,0,0.67,50.828392,345 Red Lane Rd
Raisin Bran,K,120,3,1,210,5,14,12,240,25,0.75,39.259197,109 Left Dr
Raisin Nut Bran,G,100,3,2,140,2.5,10.5,8,140,25,0.5,39.7034,934 Green Way
Raisin Squares,K,90,2,0,0,2,15,6,110,25,0.5,55.333142,109 Left Dr
Rice Chex,R,110,1,0,240,0,23,2,30,25,1.13,41.998933,678 Junior Dr
Rice Krispies,K,110,2,0,290,0,22,3,35,25,1,40.560159,109 Left Dr
Shredded Wheat,N,80,2,0,0,3,16,0,95,0,1,68.235885,123 Circle Way
Shredded Wheat 'n'Bran,N,90,3,0,0,4,19,0,140,0,0.67,74.472949,123 Circle Way
Shredded Wheat spoon size,N,90,3,0,0,3,20,0,120,0,0.67,72.801787,123 Circle Way
Smacks,K,110,2,1,70,1,9,15,40,25,0.75,31.230054,109 Left Dr
Special K,K,110,6,0,230,1,16,3,55,25,1,53.131324,109 Left Dr
Strawberry Fruit Wheats,N,90,2,0,15,3,15,5,90,25,1,59.363993,123 Circle Way
Total Corn Flakes,G,110,2,1,200,0,21,3,35,100,1,38.839746,934 Green Way
Total Raisin Bran,G,140,3,1,190,4,15,14,230,100,1,28.592785,934 Green Way
Total Whole Grain,G,100,3,1,200,3,16,3,110,100,1,46.658844,934 Green Way
Triples,G,110,2,1,250,0,21,3,60,25,0.75,39.106174,934 Green Way
Trix,G,110,1,1,140,0,13,12,25,25,1,27.753301,934 Green Way
Wheat Chex,R,100,3,1,230,3,17,3,115,25,0.67,49.787445,678 Junior Dr
Wheaties,G,100,3,1,200,3,17,3,110,25,1,51.592193,934 Green Way
Wheaties Honey Gold,G,110,2,1,200,1,16,8,60,25,0.75,36.187559,934 Green Way
